study_id,taxonomic group,ITIS taxon,site,country,longitude,latitude,coverage,percent mapped (incl. scaffolds),SRA Sample ID,BioProject Accession
VGA00101,sabaeus,Chlorocebus sabaeus,Kairaba Hotel,Gambia,"-16,724223","13,441664","4,5","99,5867574364051",SAMN01162269,PRJNA168527
VGA00107,sabaeus,Chlorocebus sabaeus,Abuko 5,Gambia,"-16,6486166667","13,3889333333","3,9","99,1632227962098",SAMN07671838,PRJNA407948
VGA00114,sabaeus,Chlorocebus sabaeus,JANJANBUREN CAMP,Gambia,"-14,75555","13,5436166667","4,3","99,6096198900342",SAMN01162272,PRJNA168527
VGA00138,sabaeus,Chlorocebus sabaeus,JANJANBUREN CAMP,Gambia,"-14,75555","13,5436166667","4,5","99,1250555273084",SAMN07671839,PRJNA407948
VGA00142,sabaeus,Chlorocebus sabaeus,JANJANBUREN CAMP,Gambia,"-14,75555","13,5436166667","4,5","99,6763417346564",SAMN01162277,PRJNA168527
VGA00146,sabaeus,Chlorocebus sabaeus,JANJANBUREN CAMP,Gambia,"-14,75555","13,5436166667","4,6","99,6887286791042",SAMN01162280,PRJNA168527
VGA00151,sabaeus,Chlorocebus sabaeus,YBK,Gambia,"-14,726","13,464","3,6","98,9392500974137",SAMN07671840,PRJNA407948
VGA00152,sabaeus,Chlorocebus sabaeus,YBK,Gambia,"-14,726","13,464","4,4","99,6991840726047",SAMN01162286,PRJNA168527
VGA00153,sabaeus,Chlorocebus sabaeus,YBK,Gambia,"-14,726","13,464","3,9","99,7308966531456",SAMN01162281,PRJNA168527
VGA00155,sabaeus,Chlorocebus sabaeus,BABOON ISLAND,Gambia,"-14,95","13,64","4,1","98,9225564135812",SAMN07671841,PRJNA407948
VGA00156,sabaeus,Chlorocebus sabaeus,BABOON ISLAND,Gambia,"-14,95","13,64",5,"99,6922643598631",SAMN01162271,PRJNA168527
VGHA1001,sabaeus,Chlorocebus sabaeus,GhanaA,Ghana,"-1,822","9,08115","4,3","99,0365993232142",SAMN01162284,PRJNA168527
VGHB1002,sabaeus,Chlorocebus sabaeus,GhanaB,Ghana,"-1,858","9,219","2,3","91,3782368035494",SAMN01162283,PRJNA168527
VKA3,hilgerti,Chlorocebus pygerythrus hilgerti,Samburu,Kenya,"37,47","0,623","4,6","99,5687136533514",SAMN01162228,PRJNA168521
VKB7,hilgerti,Chlorocebus pygerythrus hilgerti,Naivasha,Kenya,"36,429","0,706","4,2","99,5749666185821",SAMN01162245,PRJNA168521
VKC6,hilgerti,Chlorocebus pygerythrus hilgerti,Mosiro,Kenya,"36,101","1,475","4,2","99,5249220679303",SAMN01162227,PRJNA168521
VKD7,hilgerti,Chlorocebus pygerythrus hilgerti,Kimana,Kenya,"37,53","2,794","4,5","99,5914665162258",SAMN01162221,PRJNA168521
VSAA2010,pygerythrus,Chlorocebus pygerythrus pygerythrus,Soetdoring-1,South Africa,"26,085","-28,8152777778","1,8","99,6248455349568",SAMN01162236,PRJNA168521
VSAA2015,pygerythrus,Chlorocebus pygerythrus pygerythrus,Soetdoring-1,South Africa,"26,085","-28,8152777778",6,"97,9678775833029",SAMN06255993,PRJNA362602
VSAA2020,pygerythrus,Chlorocebus pygerythrus pygerythrus,Soetdoring-1,South Africa,"26,085","-28,8152777778",3,"99,7004982558205",SAMN06255994,PRJNA362602
VSAB1003,pygerythrus,Chlorocebus pygerythrus pygerythrus,Orange River Valley,South Africa,"25,4869444444","-30,6341666667","4,5","99,5290766684233",SAMN01162256,PRJNA168521
VSAB2009,pygerythrus,Chlorocebus pygerythrus pygerythrus,Southey Farm,South Africa,"25,4463888889","-30,6066666667","5,1","99,3469888071967",SAMN06255995,PRJNA362602
VSAB2010,pygerythrus,Chlorocebus pygerythrus pygerythrus,Southey Farm,South Africa,"25,4463888889","-30,6066666667","4,7","96,7976254756893",SAMN06255996,PRJNA362602
VSAB2011,pygerythrus,Chlorocebus pygerythrus pygerythrus,Southey Farm,South Africa,"25,4463888889","-30,6066666667","6,4","97,7097120362763",SAMN06255997,PRJNA362602
VSAB2012,pygerythrus,Chlorocebus pygerythrus pygerythrus,Southey Farm,South Africa,"25,4463888889","-30,6066666667","5,3","99,3991144343269",SAMN06255998,PRJNA362602
VSAB2017,pygerythrus,Chlorocebus pygerythrus pygerythrus,Southey Farm,South Africa,"25,4463888889","-30,6066666667","4,4","99,6817461282683",SAMN01162247,PRJNA168521
VSAB2023,pygerythrus,Chlorocebus pygerythrus pygerythrus,Southey Farm,South Africa,"25,4463888889","-30,6066666667","5,2","94,2534663837349",SAMN06255999,PRJNA362602
VSAB3001,pygerythrus,Chlorocebus pygerythrus pygerythrus,Southey Farm,South Africa,"25,4463888889","-30,6066666667","5,2","96,8448995210155",SAMN06256000,PRJNA362602
VSAB3004,pygerythrus,Chlorocebus pygerythrus pygerythrus,Southey Farm,South Africa,"25,4463888889","-30,6066666667","5,6","99,1650409717906",SAMN06256001,PRJNA362602
VSAB5004,pygerythrus,Chlorocebus pygerythrus pygerythrus,Waschbank,South Africa,"25,4622222222","-30,6166666667","4,4","97,9625970333557",SAMN06256002,PRJNA362602
