category	watterson	tajima	fay_wu	pop	species	method	D_tajima	H_fay_wu
Synonymous	0.14492739443349512	0.09320046745180054	0.040132865881532816	SAS	Homo_sapiens	MutSel	-0.05172692698169458	0.05306760157026772
$-1<S<0$	0.15281761465895513	0.0955688106940061	0.03776452263932721	SAS	Homo_sapiens	MutSel	-0.057248803964949024	0.057804288054678896
$-3<S<-1$	0.1656255310559656	0.09909908812845863	0.03423424520487468	SAS	Homo_sapiens	MutSel	-0.06652644292750698	0.06486484292358395
$S<-3$	0.19869446616263292	0.10663291349137248	0.026700419841960855	SAS	Homo_sapiens	MutSel	-0.09206155267126044	0.07993249364941163
$1<S$	0.14045089106804953	0.09031343725678087	0.04301989607655248	SAS	Homo_sapiens	Omega	-0.05013745381126866	0.04729354118022839
$0<S<1$	0.14796497352980173	0.09412401947095547	0.03920931386237785	SAS	Homo_sapiens	Omega	-0.05384095405884626	0.05491470560857762
Synonymous	0.14509734572789276	0.09319112167445023	0.040142211658883084	SAS	Homo_sapiens	Omega	-0.05190622405344253	0.05304891001556715
$-1<S<0$	0.15172232447226958	0.09555702504268024	0.037776308290653066	SAS	Homo_sapiens	Omega	-0.05616529942958934	0.05778071675202717
$-3<S<-1$	0.16092317517737104	0.0973103678240264	0.036022965509306934	SAS	Homo_sapiens	Omega	-0.06361280735334464	0.061287402314719464
$S<-3$	0.1927554858344405	0.10490521934257548	0.028428113990757845	SAS	Homo_sapiens	Omega	-0.08785026649186502	0.07647710535181763
$1<S$	0.12474568168551944	0.08514472065104374	0.04818861268228957	IRBT	Bos_taurus	MutSel	-0.039600961034475704	0.03695610796875417
$0<S<1$	0.13070279403078866	0.08837470488138442	0.04495862845194888	IRBT	Bos_taurus	MutSel	-0.04232808914940424	0.04341607642943554
Synonymous	0.12940006730726786	0.08798603036050177	0.045347302972831564	IRBT	Bos_taurus	MutSel	-0.041414036946766083	0.04263872738767021
$-1<S<0$	0.1378747641157029	0.09128843370209108	0.04204489963124226	IRBT	Bos_taurus	MutSel	-0.04658633041361182	0.049243534070848825
$-3<S<-1$	0.14602178535289542	0.09466768245885336	0.03866565087447997	IRBT	Bos_taurus	MutSel	-0.05135410289404206	0.05600203158437339
$S<-3$	0.17077928330938152	0.1015847818001958	0.03174855153313754	IRBT	Bos_taurus	MutSel	-0.06919450150918573	0.06983623026705826
$1<S$	0.11636288067453622	0.08488280922346021	0.04845052410987313	IRBT	Bos_taurus	Omega	-0.03148007145107601	0.03643228511358708
